date,team,name,status
1990-10-31, Warriors, • Jim Petersen, placed on IL
1990-11-01, Cavaliers, • Milos Babic, placed on IL
1990-11-01, Knicks, • John Starks, placed on IL
1990-11-01, Knicks, • Kenny Walker, placed on IL
1990-11-01, Lakers, • Irving Thomas, placed on IL
1990-11-01, Rockets, • Buck Johnson, placed on IL
1990-11-01, Rockets, • Matt Bullard, placed on IL
1990-11-10, Warriors, • Mike Smrek, placed on IL with bruised ribs
1990-11-10, Warriors, • Jim Petersen, activated from IL
1990-11-13, Hawks, • Jon Koncak, activated from IL
1990-11-13, Clippers, • Danny Manning, placed on IL with patella tendinitis in right knee
1990-11-15, Sonics, • Dave Corzine, activated from IL
1990-11-16, Sonics, • Dale Ellis, transferred from suspended list to IL
1990-11-16, Suns, • Ian Lockhart, placed on IL with knee and ankle injuries
1990-11-16, Suns, • Andrew Lang, activated from IL
1990-11-19, Rockets, • Adrian Caldwell, placed on IL with eye injury
1990-11-20, Nuggets, • Marcus Liberty, placed on IL
1990-11-20, Nuggets, • Jerome Lane, activated from IL
1990-11-20, Rockets, • Buck Johnson, activated from IL
1990-11-21, Cavaliers, • John Williams / Hot Rod Williams, placed on IL with sprained left foot
1990-11-21, Cavaliers, • Milos Babic, activated from IL
1990-11-21, Suns, • Tim Perry, placed on IL
1990-11-21, Suns, • Negele Knight, activated from IL
1990-11-25, Clippers, • Ken Norman, placed on IL
1990-11-25, Clippers, • Danny Manning, activated from IL
1990-11-26, Warriors, • Mike Smrek, activated from IL
1990-11-27, Bullets, • Larry Robinson (a), placed on IL
1990-11-27, Bullets, • Ledell Eackles, activated from IL
1990-11-28, Kings, • Steve Colter, placed on IL with surgery on left ankle
1990-12-01, Lakers, • Tony Brown, placed on IL
1990-12-01, Lakers, • Irving Thomas, activated from IL
1990-12-04, Magic, • Sam Vincent, placed on IL
1990-12-04, Rockets, • Adrian Caldwell, activated from IL
1990-12-05, Heat, • Keith Askins, activated from IL
1990-12-05, Suns, • Andrew Lang, placed on IL
1990-12-05, Suns, • Tim Perry, activated from IL
1990-12-10, Kings, • Anthony Bonner, activated from IL
1990-12-13, Cavaliers, • Winston Bennett, placed on IL
1990-12-18, Kings, • Bobby Hansen, placed on IL with torn cartilage in left knee
1990-12-18, Knicks, • Maurice Cheeks, placed on IL
1990-12-18, Knicks, • Stuart Gray, placed on IL
1990-12-18, Knicks, • Kenny Walker, activated from IL
1990-12-18, Knicks, • Trent Tucker, activated from IL
1990-12-19, Mavericks, • Herb Williams, placed on IL
1990-12-19, Spurs, • Sean Higgins, activated from IL
1990-12-22, Magic, • Sam Vincent, activated from IL
1990-12-22, Nuggets, • Orlando Woolridge, placed on IL recovering from surgery on right eye to repair detached retina (date approximate)
1990-12-24, Nuggets, • Jerome Lane, activated from IL
1990-12-24, Spurs, • Sidney Green, activated from IL
1990-12-26, Suns, • Kenny Battle, placed on IL
1990-12-26, Suns, • Andrew Lang, activated from IL
1990-12-27, Celtics, • Derek Smith, placed on IL
1990-12-30, Mavericks, • Lafayette Lever / Fat Lever, placed on IL
1991-01-04, Nets, • Tate George, placed on IL
1991-01-04, Nets, • Roy Hinson, activated from IL
1991-01-05, Rockets, • Matt Bullard, activated from IL
1991-01-07, Heat, • Rony Seikaly, placed on IL
1991-01-09, Sonics, • Quintin Dailey, placed on IL with right hamstring injury
1991-01-09, Sonics, • Scott Meents, activated
1991-01-13, Knicks, • Eddie Lee Wilkins, placed on IL
1991-01-13, Knicks, • Stuart Gray, activated from IL
1991-01-13, Nets, • Derrick Gervin, placed on IL
1991-01-13, Nets, • Tate George, activated from IL
1991-01-14, Hornets, • Kenny Gattison, placed on IL
1991-01-14, Kings, • Wayman Tisdale, placed on IL with torn tendon in right foot
1991-01-14, Rockets, • Hakeem Olajuwon, placed on IL recovering from surgery on right eye (date approximate)
1991-01-21, Hornets, • Randolph Keys, placed on IL with broken finger
1991-01-21, Hornets, • Rex Chapman, placed on IL with sprained left ankle
1991-01-22, Pacers, • Rik Smits, placed on IL with bone chips in right elbow
1991-01-23, Knicks, • Eddie Lee Wilkins, activated from IL
1991-01-23, Mavericks, • Herb Williams, activated from IL
1991-01-23, Nets, • Sam Bowie, placed on IL with bruised right shin
1991-01-24, Nuggets, • Orlando Woolridge, activated from IL
1991-01-25, Clippers, • Tom Garrick, placed on IL
1991-01-25, Clippers, • Ron Harper, activated from IL
1991-01-25, Nets, • Roy Hinson, placed on IL
1991-01-25, Nets, • Derrick Gervin, activated from IL
1991-01-25, Pistons, • Isiah Thomas, placed on IL with right wrist injury
1991-01-27, Heat, • Rony Seikaly, activated from IL
1991-01-27, Suns, • Kurt Rambis, placed on IL
1991-01-28, 76ers, • David Hoppen / Dave Hoppen, placed on IL
1991-01-29, Pacers, • Vern Fleming, activated from IL
1991-01-31, Hornets, • Rex Chapman, activated from IL
1991-02-02, Hornets, • Kenny Gattison, activated from IL
1991-02-03, Spurs, • Rod Strickland, placed on IL with fractured right hand
1991-02-05, Pacers, • Rik Smits, activated from IL
1991-02-05, Suns, • Kurt Rambis, activated from IL
1991-02-06, Bullets, • Haywoode Workman, placed on IL
1991-02-06, Cavaliers, • Milos Babic, placed on IL
1991-02-06, Cavaliers, • John Williams / Hot Rod Williams, activated from IL
1991-02-06, Clippers, • Tom Garrick, activated from IL (date approximate)
1991-02-06, Clippers, • Tom Garrick, activated from IL
1991-02-11, Nuggets, • Todd Lichti, placed on IL with knee injury
1991-02-15, Heat, • Terry Davis, activated from IL
1991-02-17, Nets, • Kurk Lee, placed on IL
1991-02-17, Nets, • Sam Bowie, activated from IL
1991-02-18, 76ers, • David Hoppen / Dave Hoppen, activated from IL
1991-02-19, Suns, • Tim Perry, placed on IL
1991-02-21, Lakers, • Sam Perkins, placed on IL
1991-02-25, Warriors, • Tom Tolbert, placed on IL
1991-02-25, Warriors, • Les Jepsen, activated from IL
1991-02-26, Bucks, • Steve Henson, placed on IL
1991-02-26, Bullets, • Mark Alarie, placed on IL
1991-02-26, Bullets, • Darrell Walker, activated from IL
1991-02-26, Cavaliers, • Derrick Chievous, placed on IL with back spasms
1991-02-26, Cavaliers, • Winston Bennett, activated from IL
1991-02-27, Kings, • Anthony Bonner, placed on IL
1991-02-27, Kings, • Steve Colter, activated from IL
1991-02-28, Jazz, • Theodore Edwards / Blue Edwards, placed on IL
1991-02-28, Kings, • Ralph Sampson, placed on IL with strained tendons in right forefoot
1991-02-28, Rockets, • Matt Bullard, placed on IL
1991-02-28, Rockets, • Hakeem Olajuwon, activated from IL
1991-03-04, Celtics, • Dave Popson, placed on IL with bone spur in left foot
1991-03-05, Clippers, • Ken Norman, placed on IL
1991-03-05, Clippers, • Winston Garland, activated from IL
1991-03-05, Spurs, • David Wingate, activated
1991-03-06, Knicks, • Jerrod Mustaf, placed on IL
1991-03-06, Knicks, • Greg Grant, activated from IL
1991-03-06, Pistons, • Lance Blanks, placed on IL
1991-03-06, Pistons, • John Salley, activated from IL
1991-03-13, Hawks, • Trevor Wilson, placed on IL
1991-03-17, Suns, • Joe Barry Carroll, placed on IL
1991-03-17, Suns, • Tim Perry, activated from IL
1991-03-19, Spurs, • Tony Massenburg, placed on IL
1991-03-19, Spurs, • Rod Strickland, activated from IL
1991-03-20, Nets, • Chris Dudley, placed on IL
1991-03-20, Nets, • Kurk Lee, activated from IL
1991-03-27, Clippers, • Ken Bannister, placed on IL
1991-03-27, Clippers, • Mike Smrek, activated
1991-03-29, Knicks, • Gerald Wilkins, placed on IL
1991-03-29, Knicks, • Jerrod Mustaf, activated from IL
1991-04-02, Rockets, • Dave Feitl, placed on IL with sprained ankle
1991-04-02, Spurs, • Dwayne Schintzius, placed on IL with back spasms
1991-04-02, Spurs, • Tony Massenburg, activated from IL
1991-04-03, Celtics, • Derek Smith, activated from IL
1991-04-03, Rockets, • Matt Bullard, activated from IL
1991-04-06, Pistons, • Isiah Thomas, activated from IL
1991-04-13, Nets, • Sam Bowie, placed on IL
1991-04-13, Nets, • Chris Dudley, activated from IL
1991-04-18, 76ers, • Kenny Payne, placed on IL
1991-04-18, Bullets, • Charles Jones, placed on IL with pulled left groin
1991-04-20, Cavaliers, • Brad Daugherty, placed on IL with broken left middle finger
1991-04-20, Cavaliers, • Milos Babic, activated from IL
1991-04-21, Suns, • Tim Perry, placed on IL
1991-04-21, Suns, • Joe Barry Carroll, activated from IL
1991-10-29, Blazers, • Ennis Whatley, placed on IL with broken right ankle
1991-10-29, Blazers, • Lamont Strothers, placed on IL
1991-11-07, Bulls, • Craig Hodges, placed on IL with sprained left knee
1991-11-13, Sonics, • Shawn Kemp, placed on IL
1991-11-13, Sonics, • Quintin Dailey, activated from IL
1991-11-17, Bulls, • Bill Cartwright, placed on IL with broken left hand
1991-12-15, 76ers, • Brian Oliver, placed on IL
1991-12-15, 76ers, • Mitchell Wiggins, activated from IL
1991-12-17, Bulls, • Craig Hodges, activated from IL
1991-12-28, Bulls, • Bill Cartwright, activated from IL
1992-01-02, Pistons, • Bob McCann, placed on IL with Achilles tendon injury (date approximate)
1992-01-20, Timberwolves, • Tom Garrick, placed on IL
1992-01-20, Timberwolves, • Tod Murphy, activated from IL
1992-01-29, Blazers, • Lamont Strothers, placed on IL with strained rotator cuff in right shoulder
1992-01-29, Blazers, • Ennis Whatley, activated from IL
1992-02-13, Kings, • Dwayne Schintzius, placed on IL with herniated disc in lower back
1992-03-07, Pistons, • Bob McCann, activated from IL (date approximate)
1992-03-10, Lakers, • James Worthy, placed on IL
1992-11-05, Cavaliers, • Jay Guidinger, placed on IL
1992-11-05, Cavaliers, • Jerome Lane, placed on IL
1992-11-05, Celtics, • Kenny Battle, placed on IL with inflamed tendon between fourth and fifth fingers on left hand
1992-11-05, Celtics, • Marcus Webb, placed on IL with pulled left groin
1992-11-13, Kings, • Anthony Webb / Spud Webb, placed on IL with torn ligaments in left wrist
1992-11-18, Celtics, • Ed Pinckney, placed on IL with strained left knee & calf
1992-11-18, Celtics, • Marcus Webb, activated from IL
1992-11-19, Celtics, • Kenny Battle, activated from IL
1992-11-19, Nuggets, • Robert Werdann / Rob Werdann, placed on IL
1992-11-19, Nuggets, • Gary Plummer, activated from IL
1992-12-02, Bulls, • Corey Williams, placed on IL with abdominal strain
1992-12-03, Cavaliers, • Jerome Lane, activated from IL
1992-12-04, Blazers, • Jerome Kersey, placed on IL with sore left knee
1992-12-10, Rockets, • Kennard Winchester, placed on IL
1992-12-10, Rockets, • Wayne Rollins / Tree Rollins, activated from IL
1992-12-15, Bulls, • Corey Williams, activated from IL
1992-12-23, Hawks, • Dominique Wilkins, placed on IL with broken fourth finger on right hand
1992-12-30, Blazers, • Clyde Drexler, placed on IL with sore right knee
1992-12-31, Cavaliers, • John Williams / Hot Rod Williams, placed on IL
1992-12-31, Cavaliers, • Jay Guidinger, activated from IL
1993-01-08, Bulls, • Scott Williams, placed on IL with right knee tendinitis
1993-01-12, Blazers, • Delaney Rudd, placed on IL with left knee tendinitis
1993-01-18, Bulls, • Rodney McCray, placed on IL with sprained right knee
1993-01-18, Bulls, • Scott Williams, activated from IL
1993-01-20, Spurs, • Willie Anderson, activated from IL
1993-02-08, Clippers, • Ken Norman, placed on IL with chicken pox
1993-02-08, Knicks, • Eric Anderson (W.), placed on IL
1993-02-08, Knicks, • Bo Kimble, activated from IL
1993-02-10, Bulls, • John Paxson, placed on IL
1993-02-18, Blazers, • Delaney Rudd, activated from IL
1993-02-22, Bulls, • Bill Cartwright, placed on IL
1993-02-23, Blazers, • Delaney Rudd, activated from IL
1993-02-23, Bulls, • Rodney McCray, activated from IL
1993-02-23, Clippers, • Ken Norman, activated from IL
1993-02-25, Magic, • Terry Catledge, placed on IL
1993-02-25, Magic, • Dennis Scott, activated from IL
1993-03-02, Blazers, • Clyde Drexler, placed on IL
1993-03-02, Blazers, • Delaney Rudd, activated from IL
1993-03-02, Warriors, • Billy Owens, activated from IL
1993-03-11, Bucks, • Orlando Woolridge, placed on IL
1993-03-11, Bucks, • Todd Day, activated from IL
1993-03-11, Hawks, • Blair Rasmussen, placed on IL
1993-03-19, Bulls, • Trent Tucker, placed on IL
1993-03-19, Bulls, • John Paxson, activated from IL
1993-03-23, Blazers, • Kevin Duckworth, placed on IL with sore right knee
1993-03-24, Bulls, • Corey Williams, placed on IL
1993-03-24, Bulls, • Bill Cartwright, activated from IL
1993-03-26, Suns, • Jerrod Mustaf, placed on IL with bruised right thigh
1993-03-30, Bulls, • Darrell Walker, placed on IL
1993-03-30, Bulls, • Trent Tucker, activated from IL
1993-04-02, Blazers, • Joe Wolf, placed on IL with upper respiratory infection
1993-04-02, Blazers, • Kevin Duckworth, activated from IL
1993-04-05, Bucks, • Frank Brickowski, placed on IL
1993-04-05, Bucks, • Orlando Woolridge, activated from IL
1993-04-06, Blazers, • Delaney Rudd, activated from IL
1993-04-11, Suns, • Jerrod Mustaf, activated from IL
1993-04-15, Bucks, • Danny Schayes, placed on IL
1993-04-15, Bucks, • Frank Brickowski, activated from IL
1993-04-20, Bulls, • Ed Nealy, placed on IL
1993-04-20, Bulls, • Darrell Walker, activated from IL
1993-09-30, Knicks, • Tim McCormick, placed on IL
1993-11-04, Bulls, • John Paxson, placed on IL
1993-11-04, Bulls, • Scott Williams, placed on IL
1993-11-04, Clippers, • Henry James, placed on IL with left knee tendinitis
1993-11-04, Magic, • Anthony Cook, placed on IL with recovering from surgery on right knee
1993-11-08, Bulls, • Scottie Pippen, placed on IL
1993-11-09, Cavaliers, • Larry Nance Sr., placed on IL
1993-11-16, Clippers, • Henry James, activated from IL
1993-11-24, Cavaliers, • Gerald Madkins, placed on IL
1993-11-24, Cavaliers, • Terrell Brandon, activated from IL
1993-11-30, Bulls, • Will Perdue, placed on IL
1993-11-30, Bulls, • Scottie Pippen, activated from IL
1993-12-20, Pacers, • Jerome Richardson / Pooh Richardson, placed on IL with stress fracture in right leg (date approximate)
1993-12-27, Magic, • Anthony Cook, activated from IL
1993-12-30, Hornets, • Larry Johnson (Demetric), placed on IL
1994-01-04, Bulls, • Bill Cartwright, placed on IL
1994-01-04, Bulls, • Will Perdue, activated from IL
1994-01-05, Knicks, • Hubert Davis, placed on IL
1994-01-05, Lakers, • Sam Bowie, placed on IL
1994-01-05, Mavericks, • Terry Davis, activated from IL
1994-01-05, Pistons, • Dan O'Sullivan, activated from IL
1994-01-12, Bulls, • John Paxson, activated from IL
1994-01-16, Pacers, • Vern Fleming, placed on IL with pulled right hamstring
1994-01-16, Pacers, • Jerome Richardson / Pooh Richardson, activated from IL
1994-01-19, Bulls, • Stacey King, placed on IL
1994-01-19, Bulls, • Bill Cartwright, activated from IL
1994-02-01, Bulls, • Dave Johnson, placed on IL
1994-02-01, Bulls, • Scott Williams, activated from IL
1994-02-15, Suns, • Jerrod Mustaf, placed on IL with upper respiratory infection
1994-02-16, Bulls, • Toni Kukoc, placed on IL
1994-02-16, Bulls, • Stacey King, activated from IL
1994-02-23, Magic, • Larry Krystkowiak, activated from IL
1994-02-25, Bulls, • Bill Cartwright, placed on IL
1994-02-25, Bulls, • Toni Kukoc, activated from IL
1994-02-25, Lakers, • Antonio Harvey, placed on IR with strained left hip muscle
1994-02-26, 76ers, • Shawn Bradley, placed on IL recovering from surgery on left knee
1994-02-26, Suns, • Jerrod Mustaf, activated from IL
1994-03-08, Bulls, • John Paxson, placed on IL
1994-03-15, Bulls, • Will Perdue, placed on IL
1994-03-15, Bulls, • Bill Cartwright, activated from IL
1994-03-24, Bullets, • Pervis Ellison, placed on IL
1994-03-24, Bullets, • Calbert Cheaney, activated from IL
1994-04-08, Bulls, • Bill Cartwright, placed on IL
1994-04-08, Bulls, • John Paxson, activated from IL
1994-04-08, Kings, • Walt Williams, spained lower right leg (out for season)
1994-04-09, Bulls, • Jo Jo English, placed on IL
1994-04-09, Bulls, • Will Perdue, activated from IL
1994-04-21, Magic, • Jeff Turner, placed on IL
1994-04-22, Bulls, • Corie Blount, placed on IL
1994-04-22, Bulls, • Bill Cartwright, activated from IL
1994-10-27, Warriors, • Chris Mullin," placed on IR with chip fracture and strained ligament in left knee, and pulled hamstring (out 6-8 weeks) (date 11/3 per Stats)"
1994-11-01, Nuggets, • LaPhonso Ellis, placed on IR with stress fracture in right kneecap
1994-11-02, Celtics, • Pervis Ellison, placed on IR with injured knees
1994-11-02, Heat, • Keith Askins, placed on IL with left Achilles tendinitis
1994-11-02, Magic, • Greg Grant, placed on IL with hamstring tendinitis
1994-11-02, Mavericks, • Roy Tarpley, placed on IL with bursitis in left knee (date 11-04 per Stats)
1994-11-02, Pacers, • Damon Bailey, placed on IR with chronic tendinitis in both knees
1994-11-02, Pacers, • Scott Haskin, placed on IL with surgery on back
1994-11-03, Blazers, • Negele Knight, placed on IL with left ankle tendinitis
1994-11-03, Blazers, • Terry Porter (b), placed on IL with bone fragments in ankle
1994-11-03, Bucks, • Eric Murdock, placed on IL with eye injury
1994-11-03, Bullets, • Brent Price, placed on IR with torn ACL (out for season)
1994-11-03, Bullets, • Jim McIlvaine, placed on IL with sprained ankle
1994-11-03, Bullets, • Kenny Walker, placed on IL with arthroscopic knee surgery
1994-11-03, Bulls, • Bill Wennington, placed on IL with sprained left ankle
1994-11-03, Bulls, • Jud Buechler, placed on IL with right knee tendinitis
1994-11-03, Bulls, • Kevin Rankin, placed on IR with spine
1994-11-03, Cavaliers, • Brad Daugherty, placed on IR with surgery to repair herniated discs in back
1994-11-03, Cavaliers, • Gerald Wilkins, placed on IL with torn Achilles tendon
1994-11-03, Cavaliers, • John Battle, placed on IR with surgery on both knees
1994-11-03, Celtics, • Tony Harris, placed on IL with sore back / back spasms
1994-11-03, Clippers, • Bob Martin, placed on IL with bruised heel
1994-11-03, Clippers, • Gary Grant, placed on IL with swelling and inflammation in knee
1994-11-03, Clippers, • Stanley Roberts, placed on IL with ruptured left Achilles tendon
1994-11-03, Hawks, • Blair Rasmussen, placed in IL with degenerative spine damage
1994-11-03, Hawks, • Craig Ehlo, placed in IR with arthroscopic knee surgery
1994-11-03, Hornets, • Joe Courtney, placed on IL with strained right rotator cuff
1994-11-03, Hornets, • Tom Tolbert, placed on IR with torn foot muscle
1994-11-03, Hornets, • Tony Bennett, placed on IL with sore foot
1994-11-03, Jazz, • Jay Humphries, placed on IL with knee surgery
1994-11-03, Kings, • Doug Lee, placed on IL with tendinitis in knee
1994-11-03, Kings, • Frank Brickowski, placed on IL with separated right shoulder
1994-11-03, Kings, • Lionel Simmons, placed on IR with arthroscopic surgery on right knee
1994-11-03, Knicks, • Anthony Bonner, placed on IL with loose cartilage in knee
1994-11-03, Knicks, • Doug Christie, placed on IL with calcium deposits in ankle
1994-11-03, Knicks, • Glenn Rivers / Doc Rivers, placed on IR with knee / sprained ankle (S)
1994-11-03, Lakers, • James Worthy, placed on IL with patella tendinitis in left knee
1994-11-03, Magic, • Dennis Scott, placed on IL with sore back
1994-11-03, Magic, • Geert Hammink, placed on IL with sore back
1994-11-03, Nets, • Chris Childs, placed on IL with bone bruise in right foot
1994-11-03, Nets, • Eric Floyd / Sleepy Floyd, placed on IL with sore knee
1994-11-03, Nets, • Rick Mahorn, placed on IL with bad back
1994-11-03, Nuggets, • Darnell Mee, placed on IL with sprained ankle
1994-11-03, Pacers, • John Williams (S.), placed on IL with sore knee
1994-11-03, Pistons, • Ivano Newbill, placed on IL with hamstring injury
1994-11-03, Rockets, • Chris Jent, placed on IL with sore back
1994-11-03, Rockets, • Eric Riley, placed on IL with sore back and eye
1994-11-03, Sonics, • Rich King, placed on IL with knee surgery
1994-11-03, Sonics, • Steve Scheffler, placed on IL with sprained ankle
1994-11-03, Suns, • Aaron Swinson, placed on IL with sprained ankle
1994-11-03, Timberwolves, • Charles Shackleford, placed on IR with possible herniated disk
1994-11-03, Timberwolves, • Melvin Robinson, placed on IL
1994-11-03, Timberwolves, • Charles Shackleford, activated from IL
1994-11-03, Warriors, • Dwayne Morton, placed on IL with fractured left thumb
1994-11-04, Bucks, • Roy Hinson, placed on IL with knee injury
1994-11-10, Spurs, • Vinny Del Negro, placed on IL with stress reaction in right leg
1994-11-10, Suns, • Charles Barkley, placed on IL with strained stomach muscle
1994-11-11, Bulls, • Jud Buechler, activated from IL
1994-11-11, Timberwolves, • Micheal Williams, placed on IL with sore left heel
1994-11-14, Hornets, • Michael Adams, placeed on IR with strained left hamstring
1994-11-14, Hornets, • Joe Courtney, activated from IL
1994-11-15, Bullets, • Jim McIlvaine, activated from IL
1994-11-15, Nets, • Yinka Dare, placed on IL with right knee tendinitis
1994-11-15, Nets, • Eric Floyd / Sleepy Floyd, activated from IL
1994-11-15, Suns, • Antonio Lang, placed on IL with lower back spasms
1994-11-15, Suns, • Aaron Swinson, activated from IL
1994-11-16, Bulls, • Larry Krystkowiak, placed on IL with right knee surgery
1994-11-16, Bulls, • Luc Longley, placed on IL with stress fracture in left leg
1994-11-16, Bulls, • Bill Wennington, activated from IL
1994-11-16, Bulls, • Jud Buechler, activated from IL
1994-11-16, Celtics, • Sherman Douglas, placed on IL with sprained ligament in knee
1994-11-16, Celtics, • Tony Harris, activated from IL
1994-11-16, Heat, • Keith Askins, activated from IL
1994-11-16, Mavericks, • Roy Tarpley, activated from IL
1994-11-17, Bullets, • Anthony Tucker, placed on IL with right knee tendinitis (date 11/15 per Stats)
1994-11-17, Magic, • Geert Hammink, activated from IL
1994-11-19, Nuggets, • LaPhonso Ellis, placed on IL with surgery on right knee (date approximate)
1994-11-20, Blazers, • Rod Strickland, placed on IL with fracture in right wrist
1994-11-21, Bucks, • Eric Murdock, activated from IL
1994-11-25, Spurs, • Terry Cummings, placed on IL with bruised ribs
1994-11-25, Spurs, • Vinny Del Negro, activated from IL
1994-11-26, Hornets, • Tyrone Bogues / Muggsy Bogues, pulled groin (DTD)
1994-11-26, Suns, • Kevin Johnson, placed on IL with strained right groin
1994-11-26, Suns, • Charles Barkley, activated from IL
1994-11-28, Magic, • Greg Grant, activated from IL
1994-11-29, Bullets, • Gheorghe Muresan, placed on IL with sprained left knee
1994-11-29, Bullets, • Anthony Tucker, activated from IL
1994-11-29, Hawks, • Craig Ehlo, activated from IL
1994-11-29, Knicks, • Charlie Ward, placed on IL with sprained right wrist
1994-11-29, Knicks, • Ronnie Grandison, placed on IL with left knee tendinitis
1994-11-29, Knicks, • Anthony Bonner, activated from IL
1994-11-29, Knicks, • Glenn Rivers / Doc Rivers, activated from IL
1994-11-30, Hornets, • Kenny Gattison, placed on IR with cervical spine sprain (out for season)
1994-11-30, Magic, • Geert Hammink, placed on IL with sore knee
1994-11-30, Magic, • Rodney Dent, placed on IR with serious ligament damage in left knee
1994-11-30, Magic, • Dennis Scott, activated from IL
1994-11-30, Nets, • Kevin Edwards, placed on IR with partial tear of left Achilles tendon
1994-11-30, Nets, • Rick Mahorn, activated from IL
1994-11-30, Warriors, • Manute Bol, placed on IR with arthroscopic surgery on right knee
1994-12-01, Rockets, • Chris Jent, activated from IL
1994-12-01, Warriors, • Dwayne Morton, activated from IL
1994-12-02, Bulls, • Corie Blount, placed on IR with infected right foot
1994-12-02, Bulls, • Larry Krystkowiak, activated from IL
1994-12-02, Nuggets, • Reggie Williams, placed on IL with sprained ligament in right knee (date 12-04 per Stats)
1994-12-02, Nuggets, • Darnell Mee, activated from IL
1994-12-03, Jazz, • Jay Humphries, activated from IL
1994-12-04, Blazers, • Aaron McKie, placed on IL with sore right thumb
1994-12-04, Blazers, • Negele Knight, activated from IL
1994-12-05, Clippers, • Bob Martin, activated from IL
1994-12-06, Cavaliers, • John Battle, activated from IL
1994-12-06, Clippers, • Elmore Spencer, placed on IR with behavior and personal problems (date 12/5 per Stats)
1994-12-06, Pacers, • Antonio Davis, placed on IR with disc problems in lower back
1994-12-06, Pacers, • John Williams (S.), activated from IL
1994-12-06, Spurs, • Willie Anderson, placed on IL with strained right elbow
1994-12-06, Spurs, • Terry Cummings, activated from IL
1994-12-07, Kings, • Henry Turner, placed on IL with sprained right big toe
1994-12-07, Kings, • Doug Lee, activated from IL
1994-12-09, Blazers, • James Edwards, placed on IL with bruised right thigh
1994-12-09, Blazers, • Rod Strickland, activated from IL
1994-12-10, Pistons, • Lindsey Hunter, placed on IL with fractured right foot / ankle (Stats)
1994-12-10, Pistons, • Oliver Miller, placed on IR with broken fifth metacarpal in right hand (out 2 weeks)
1994-12-10, Pistons, • Ivano Newbill, activated from IL
